,date,hour_temp_max,hour_temp_min,precipitation,temp_max,temp_media,temp_min,wind_speed,wind_speed_max
0,2015-01-01,13:30:00,05:20:00,0.0,10.4,4.7,-1.0,0.8,3.9
1,2015-01-02,15:10:00,07:20:00,0.0,12.0,5.5,-1.0,0.6,3.9
2,2015-01-03,14:50:00,08:10:00,0.0,11.4,6.3,1.2,0.3,3.6
3,2015-01-04,13:15:00,08:10:00,0.0,14.0,7.7,1.4,0.3,3.3
4,2015-01-05,15:20:00,07:10:00,0.0,12.0,6.8,1.5,1.4,5.3
5,2015-01-06,15:10:00,07:40:00,0.0,9.8,5.3,0.8,0.8,3.1
6,2015-01-07,14:50:00,08:10:00,0.0,10.7,5.8,0.8,1.1,4.4
7,2015-01-08,15:00:00,05:30:00,0.0,12.3,6.4,0.4,0.8,5.3
8,2015-01-09,15:40:00,05:10:00,0.0,13.5,7.8,2.0,0.3,4.2
9,2015-01-10,14:50:00,08:00:00,0.0,12.6,7.2,1.7,0.8,3.3
10,2015-01-11,15:45:00,07:50:00,0.0,13.7,8.0,2.4,0.8,5.8
11,2015-01-12,00:00:00,07:15:00,0.0,11.8,7.7,3.6,1.1,7.2
12,2015-01-13,16:15:00,07:30:00,0.0,12.4,7.4,2.4,1.4,6.9
13,2015-01-14,14:10:00,06:40:00,0.0,8.2,5.3,2.4,0.6,3.3
14,2015-01-15,14:30:00,00:00:00,6.1,10.8,7.9,5.0,1.4,10.3
15,2015-01-16,00:00:00,06:40:00,0.0,8.0,5.3,2.6,2.2,9.7
16,2015-01-17,13:50:00,07:30:00,0.0,8.5,3.7,-1.1,1.7,7.5
17,2015-01-18,13:50:00,03:30:00,6.8,3.5,1.9,0.3,0.6,13.9
18,2015-01-19,13:30:00,01:15:00,0.0,7.2,3.9,0.6,4.4,15.3
19,2015-01-20,15:10:00,02:10:00,0.0,6.5,3.4,0.2,0.8,6.1
20,2015-01-21,13:30:00,06:45:00,0.4,5.6,3.2,0.8,1.7,11.1
21,2015-01-22,13:30:00,05:00:00,0.0,8.4,5.1,1.8,2.5,11.9
22,2015-01-23,13:50:00,00:00:00,0.0,9.8,5.1,0.4,2.8,8.6
23,2015-01-24,16:10:00,07:20:00,0.0,10.7,4.6,-1.4,0.0,13.9
24,2015-01-25,14:45:00,08:05:00,0.0,12.6,7.2,1.8,1.7,10.8
25,2015-01-26,16:10:00,07:40:00,0.0,12.9,6.7,0.5,0.8,5.0
26,2015-01-27,14:45:00,06:50:00,0.0,13.3,7.6,2.0,1.1,10.6
27,2015-01-28,15:50:00,07:50:00,0.0,12.8,7.0,1.3,0.3,6.4
28,2015-01-29,00:00:00,04:10:00,,12.2,8.0,3.9,2.8,12.2
29,2015-01-30,12:30:00,00:00:00,3.7,15.4,12.5,9.6,4.2,14.2
30,2015-01-31,00:00:00,23:59:00,,10.8,7.1,3.4,5.6,18.9
31,2015-02-01,15:30:00,06:50:00,0.0,8.0,4.9,1.8,3.3,13.9
32,2015-02-02,12:20:00,06:30:00,2.6,5.1,4.2,3.2,2.8,10.0
33,2015-02-03,14:35:00,20:15:00,4.3,9.6,5.8,2.0,2.5,12.8
34,2015-02-04,12:30:00,07:30:00,0.0,5.1,2.8,0.4,4.4,12.5
35,2015-02-05,13:30:00,04:50:00,0.0,5.6,3.1,0.6,3.6,17.2
36,2015-02-06,13:30:00,07:30:00,0.0,5.7,2.6,-0.4,2.2,10.0
37,2015-02-07,00:00:00,04:15:00,0.0,3.4,1.2,-1.0,1.4,7.8
38,2015-02-08,15:50:00,06:40:00,0.0,8.5,3.4,-1.7,1.1,8.3
39,2015-02-09,14:50:00,06:50:00,0.0,10.4,5.5,0.6,2.8,11.4
40,2015-02-10,16:10:00,07:10:00,0.0,9.0,5.9,2.8,1.9,6.4
41,2015-02-11,15:40:00,08:20:00,0.0,8.6,6.6,4.5,1.7,5.6
42,2015-02-12,13:40:00,00:00:00,0.0,11.6,7.9,4.2,1.4,5.6
43,2015-02-13,14:50:00,05:30:00,0.0,12.2,7.4,2.7,2.8,10.0
44,2015-02-14,13:30:00,06:45:00,4.3,12.3,9.5,6.7,3.1,11.7
45,2015-02-15,13:50:00,07:10:00,0.0,14.8,10.8,6.7,2.8,10.3
46,2015-02-16,16:10:00,23:59:00,6.9,13.1,9.6,6.0,1.1,11.7
47,2015-02-17,13:10:00,00:00:00,0.0,11.8,8.1,4.4,4.7,18.3
48,2015-02-18,15:50:00,06:30:00,0.0,10.8,7.2,3.7,3.1,12.2
49,2015-02-19,14:50:00,07:50:00,0.0,12.6,7.6,2.6,1.1,5.0
50,2015-02-20,15:15:00,05:45:00,3.4,11.3,6.7,2.1,0.8,6.1
51,2015-02-21,12:40:00,00:00:00,0.0,13.0,9.0,5.0,2.2,12.5
52,2015-02-22,15:30:00,05:50:00,0.0,13.8,8.0,2.2,2.5,9.7
53,2015-02-23,15:10:00,23:59:00,0.0,13.7,10.2,6.6,4.2,13.3
54,2015-02-24,13:40:00,06:10:00,0.0,11.5,7.8,4.2,3.9,13.6
55,2015-02-25,13:20:00,03:30:00,0.0,14.3,9.2,4.1,3.6,13.6
56,2015-02-26,12:30:00,03:10:00,0.0,13.4,10.0,6.6,2.2,9.4
57,2015-02-27,16:00:00,00:00:00,0.0,14.3,10.8,7.4,1.9,8.1
58,2015-02-28,14:30:00,00:00:00,0.0,16.4,10.1,3.8,1.4,8.6
59,2015-03-01,15:10:00,07:30:00,0.0,18.7,14.2,9.6,2.5,8.6
60,2015-03-02,16:10:00,06:05:00,0.0,18.1,13.1,8.1,1.4,5.8
61,2015-03-03,15:45:00,02:45:00,,17.2,13.2,9.1,0.3,4.4
62,2015-03-04,14:15:00,23:59:00,0.0,15.2,10.1,5.0,3.1,11.7
63,2015-03-05,15:50:00,05:50:00,0.0,14.5,8.4,2.3,2.2,10.0
64,2015-03-06,15:40:00,07:00:00,0.0,18.3,11.4,4.6,1.7,10.0
65,2015-03-07,16:30:00,06:50:00,0.0,21.6,13.3,5.0,0.8,5.6
66,2015-03-08,16:10:00,07:00:00,0.0,22.2,14.2,6.1,0.8,8.6
67,2015-03-09,15:50:00,06:10:00,0.0,21.7,13.8,6.0,0.8,5.3
