DIA;Usos bicis abono anual ;Usos bicis abono ocasional ;Usos bicis total;Usos abono anual acumulado;Usos abono ocasional acumulado;Usos total acumulado desde inicio
23/06/2014;17;79;96;17;79;96
24/06/2014;24;48;72;41;127;168
25/06/2014;105;14;119;146;141;287
26/06/2014;120;15;135;266;156;422
27/06/2014;131;18;149;397;174;571
28/06/2014;101;18;119;498;192;690
29/06/2014;107;33;140;605;225;830
30/06/2014;121;16;137;726;241;967
1/07/2014;124;6;130;850;247;1097
2/07/2014;128;2;130;978;249;1227
3/07/2014;85;7;92;1063;256;1319
4/07/2014;121;4;125;1184;260;1444
5/07/2014;783;3;786;1967;263;2230
6/07/2014;1230;5;1235;3197;268;3465
7/07/2014;1324;3;1327;4521;271;4792
8/07/2014;1774;6;1780;6295;277;6572
9/07/2014;1874;8;1882;8169;285;8454
10/07/2014;2266;7;2273;10435;292;10727
11/07/2014;2212;2;2214;12647;294;12941
12/07/2014;1949;4;1953;14596;298;14894
13/07/2014;1790;2;1792;16386;300;16686
14/07/2014;2311;3;2314;18697;303;19000
15/07/2014;2537;2;2539;21234;305;21539
16/07/2014;2673;7;2680;23907;312;24219
17/07/2014;2651;8;2659;26558;320;26878
18/07/2014;2547;5;2552;29105;325;29430
19/07/2014;2359;2;2361;31464;327;31791
20/07/2014;2371;2;2373;33835;329;34164
21/07/2014;2676;3;2679;36511;332;36843
22/07/2014;2935;4;2939;39446;336;39782
23/07/2014;2927;5;2932;42373;341;42714
24/07/2014;3204;9;3213;45577;350;45927
25/07/2014;3084;2;3086;48661;352;49013
26/07/2014;2467;0;2467;51128;352;51480
27/07/2014;2321;0;2321;53449;352;53801
28/07/2014;2894;4;2898;56343;356;56699
29/07/2014;3168;3;3171;59511;359;59870
30/07/2014;3236;5;3241;62747;364;63111
31/07/2014;3365;5;3370;66112;369;66481
1/08/2014;3048;6;3054;69160;375;69535
2/08/2014;2532;1;2533;71692;376;72068
3/08/2014;2624;0;2624;74316;376;74692
4/08/2014;2813;4;2817;77129;380;77509
5/08/2014;2830;6;2836;79959;386;80345
6/08/2014;3054;6;3060;83013;392;83405
7/08/2014;2967;5;2972;85980;397;86377
8/08/2014;2907;9;2916;88887;406;89293
9/08/2014;2582;0;2582;91469;406;91875
10/08/2014;2687;1;2688;94156;407;94563
11/08/2014;2900;2;2902;97056;409;97465
12/08/2014;3008;3;3011;100064;412;100476
13/08/2014;3102;9;3111;103166;421;103587
14/08/2014;2791;3;2794;105957;424;106381
15/08/2014;2392;0;2392;108349;424;108773
16/08/2014;2254;0;2254;110603;424;111027
17/08/2014;2444;3;2447;113047;427;113474
18/08/2014;2945;5;2950;115992;432;116424
19/08/2014;3155;5;3160;119147;437;119584
20/08/2014;3358;0;3358;122505;437;122942
21/08/2014;3678;4;3682;126183;441;126624
22/08/2014;3419;0;3419;129602;441;130043
23/08/2014;3158;0;3158;132760;441;133201
24/08/2014;3421;1;3422;136181;442;136623
25/08/2014;3556;3;3559;139737;445;140182
26/08/2014;3991;1;3992;143728;446;144174
27/08/2014;4007;2;4009;147735;448;148183
28/08/2014;4125;6;4131;151860;454;152314
29/08/2014;4255;5;4260;156115;459;156574
30/08/2014;4002;1;4003;160117;460;160577
31/08/2014;4323;0;4323;164440;460;164900
1/09/2014;4292;7;4299;168732;467;169199
2/09/2014;4608;8;4616;173340;475;173815
3/09/2014;5163;8;5171;178503;483;178986
4/09/2014;5334;5;5339;183837;488;184325
5/09/2014;4957;1;4958;188794;489;189283
6/09/2014;4791;1;4792;193585;490;194075
7/09/2014;4724;1;4725;198309;491;198800
8/09/2014;4917;3;4920;203226;494;203720
